ticker,series,t,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19
CACI,real,13,-0.02912211,0.022981048,0.020130508,-0.008802299,-0.0054834243,0.0032870974,-0.005891566,0.002044586,-0.012263992,-0.010999071,0.016752044,0.00089488423,-0.017410923,0.006016117,0.018360715,0.00013158761,-0.010116792,-0.002795157,-0.01004697,0.0007738506
CACI,halluc,13,-0.030152394,0.021954054,0.019115243,-0.009821474,-0.006503219,0.0022652964,-0.0069124135,0.0010175413,-0.013285405,-0.012023856,0.015723748,-0.00011671713,-0.018426416,0.004992658,0.017342849,-0.0008839962,-0.011135716,-0.0038132626,-0.011064569,-0.00023628847
CADE,real,13,0.02053142,-0.0119577125,-0.0074002286,0.038348254,0.053116307,0.0053371415,-0.021159118,0.014393915,-0.012221576,-0.03346516,0.011896051,0.018671602,-0.00072568934,0.01190705,-0.018096766,0.0036456473,-0.02991913,-0.0037565783,0.00600377,0.007825641
CADE,halluc,13,0.022046505,-0.010502259,-0.005786093,0.03975967,0.054600347,0.006620912,-0.01979624,0.015994359,-0.010772772,-0.03200283,0.013412844,0.020108845,0.000633653,0.013429735,-0.016545033,0.0051132604,-0.028460873,-0.0022691416,0.0075374274,0.009345121
CALX,real,13,-0.10045614,0.012060056,0.017631732,0.021425363,0.018971007,-0.043440513,-0.0017164117,-0.022195257,-0.0125689,0.018600635,0.008499181,0.013184483,0.0105741145,-0.0028214073,0.00037664734,-0.013649501,-0.032592602,0.009811696,0.022208113,-0.029852964
CALX,halluc,13,-0.09150247,0.01365728,0.019995786,0.023696326,0.021183215,-0.04114263,-0.00042125257,-0.019989122,-0.011129748,0.019402117,0.010532462,0.015549249,0.012511293,-0.0009433958,0.0020369515,-0.011814818,-0.034886636,0.011911516,0.02425436,-0.02783873
CASY,real,13,-0.011249301,0.010121367,0.025371127,-0.014130136,-0.036469556,-0.0021872567,-0.0010730573,0.0053538093,0.00022245431,-0.024589188,0.01264033,0.004178185,-0.0124057075,0.014107912,-0.012973739,-0.014799521,0.0026195468,-0.0066310796,-0.010683366,-0.0070764404
CASY,halluc,13,-0.012277517,0.009091897,0.024354883,-0.015161181,-0.037511036,-0.0032163826,-0.0021035648,0.0043294467,-0.0008072301,-0.025598425,0.011627761,0.0031649647,-0.013440223,0.013069325,-0.0140041895,-0.015836792,0.0016237269,-0.007659555,-0.011728014,-0.008100977
CATY,real,13,0.0056993742,0.0037816165,0.036367647,0.006349228,0.019474594,0.0044238074,-0.011096429,0.009992312,-0.013121504,-0.020810522,0.0015987215,0.010894342,-0.002712479,0.009685851,-0.0056198873,0.010762435,-0.015960775,-0.007962732,0.005012542,0.0038861795
CATY,halluc,13,0.006436939,0.004405808,0.037083678,0.0071038036,0.020318618,0.0051892186,-0.010391079,0.010733973,-0.012333498,-0.019926297,0.0023348157,0.0116278315,-0.0021120084,0.010383083,-0.0050245645,0.011522502,-0.0152089,-0.0076045217,0.0057145115,0.004697374
