scenario_id,graph_index,date,ticker,series,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19
63,2523,2022-01-28,TEX,real,-0.011317459,0.00793565,0.047412694,-0.030616865,0.025217868,-0.016154028,0.012031208,0.007149852,-0.0017286087,0.011824281,-0.0077237026,0.0021514636,-0.056817133,-0.033070423,-0.017791953,0.0047755586,0.005463845,0.007317393,-0.025727954,-0.0067796865
63,2523,2022-01-28,TEX,halluc,-0.011317459,0.00793565,0.047412694,-0.030616865,0.025217868,-0.016154028,0.012031208,0.007149852,-0.0017286087,0.011824281,-0.0077237026,0.0021514636,-0.056817133,-0.033070423,-0.017791953,0.0047755586,0.005463845,0.007317393,-0.025727954,-0.0067796865
63,2523,2022-01-28,THC,real,0.018233843,-0.024219643,0.008717365,-0.033794668,-0.0039838133,-0.03645349,-0.0044167913,0.039452847,-0.009457867,0.023288283,0.030189555,-0.039516903,-0.009415172,0.016068216,-0.03174047,0.029058993,-0.047257006,0.016617198,-0.035835546,-0.006993515
63,2523,2022-01-28,THC,halluc,0.0150677515,-0.017971165,0.009594394,-0.034023553,-0.0028506601,-0.03583211,-0.0042811166,0.03743358,-0.010583742,0.023441017,0.030249342,-0.043757368,-0.013313218,0.0130466325,-0.03139235,0.031527996,-0.04762903,0.017554056,-0.035406552,0.00032083504
63,2523,2022-01-28,THO,real,0.016241657,0.0032551493,-0.00690584,-0.004823936,0.027848454,0.0009401147,-0.017536826,-0.02370811,0.010423357,-0.005539104,-0.026162704,-0.03325674,0.033756763,-0.11617215,-0.019618478,0.08081763,-0.023837376,-0.003902021,-0.013337905,0.009638629
63,2523,2022-01-28,THO,halluc,0.016891846,0.0056530433,-0.007737994,-0.007054258,0.026013752,-0.00041342434,-0.015052104,-0.017992571,0.009700567,-0.0025076717,-0.028383153,-0.037596583,0.03308665,-0.11126499,-0.020678453,0.08467644,-0.027130436,-0.011941098,-0.0131336115,0.016596204
63,2523,2022-01-28,TKR,real,-0.0027257747,-0.0066301776,0.052947745,0.005061917,0.019593898,-0.008871026,-0.018669207,-0.010230975,-0.0058536753,0.032591403,-0.00027063605,-0.0025747018,-0.03170493,-0.019231362,-0.01902623,0.0109986635,-0.007367314,-0.014899487,-0.023225699,-0.011208842
63,2523,2022-01-28,TKR,halluc,-0.0025523757,-0.0022596528,0.051021323,0.0011420143,0.02131899,-0.00876074,-0.01593043,-0.008894952,-0.005609411,0.030388778,0.00032210164,-0.0021888588,-0.0344216,-0.023131499,-0.017115831,0.01141351,-0.007057818,-0.014790899,-0.024151111,-0.012216817
63,2523,2022-01-28,TMHC,real,-0.0086257,-0.025443688,0.015285425,-0.028104201,-0.02337335,-0.054271996,0.021809716,0.019479096,-0.010320654,0.043672375,-0.013329491,-0.048424266,-0.024628595,-0.023569554,-0.0053890324,0.029614544,-0.016196024,-0.023260783,-0.007188119,0.019391662
63,2523,2022-01-28,TMHC,halluc,-0.0086257,-0.025443688,0.015285425,-0.028104201,-0.02337335,-0.054271996,0.021809716,0.019479096,-0.010320654,0.043672375,-0.013329491,-0.048424266,-0.024628595,-0.023569554,-0.0053890324,0.029614544,-0.016196024,-0.023260783,-0.007188119,0.019391662
