scenario_id,graph_index,date,ticker,constraint_mode,constraint_tolerance,target_drop,real_cum_return,hall_cum_return,hall_minus_target,abs_error,hit
72,2705,2022-10-19,AA,exact,0.01,-0.1,-0.045419931411743164,-0.10089755058288574,-0.0008975505828857366,0.0008975505828857366,1
73,2615,2022-06-10,AA,exact,0.01,-0.1,-0.027097225189208984,-0.07224100828170776,0.027758991718292242,0.027758991718292242,0
74,3385,2025-07-10,AA,exact,0.01,-0.1,0.09770512580871582,-0.15283674001693726,-0.05283674001693725,0.05283674001693725,0
75,3230,2024-11-20,AA,exact,0.01,-0.1,0.09481191635131836,-0.15466856956481934,-0.05466856956481933,0.05466856956481933,0
76,2960,2023-10-25,AA,exact,0.01,-0.1,-0.09007632732391357,-0.09107571840286255,0.008924281597137457,0.008924281597137457,1
77,3413,2025-08-19,AA,exact,0.01,-0.1,-0.06194418668746948,-0.08984899520874023,0.010151004791259771,0.010151004791259771,0
78,3399,2025-07-30,AA,exact,0.01,-0.1,-0.0026490092277526855,-0.1048855185508728,-0.004885518550872797,0.004885518550872797,1
79,3215,2024-10-30,AA,exact,0.01,-0.1,0.03799307346343994,-0.14337509870529175,-0.04337509870529174,0.04337509870529174,0
80,2509,2022-01-07,AA,exact,0.01,-0.1,0.2843904495239258,-0.09199273586273193,0.008007264137268072,0.008007264137268072,1
81,3442,2025-09-30,AA,exact,0.01,-0.1,0.06302523612976074,-0.13731026649475098,-0.03731026649475097,0.03731026649475097,0
82,2946,2023-10-05,AA,exact,0.01,-0.1,-0.06748682260513306,-0.10009962320327759,-9.962320327758234e-05,9.962320327758234e-05,1
83,3369,2025-06-16,AA,exact,0.01,-0.1,-0.009898781776428223,-0.12778222560882568,-0.027782225608825678,0.027782225608825678,0
84,2650,2022-08-02,AA,exact,0.01,-0.1,0.1484912633895874,-0.15861988067626953,-0.058619880676269526,0.058619880676269526,0
85,3317,2025-04-01,AA,exact,0.01,-0.1,-0.03242379426956177,-0.0814065933227539,0.0185934066772461,0.0185934066772461,0
86,3464,2025-10-30,AA,exact,0.01,-0.1,0.0554119348526001,-0.10737532377243042,-0.007375323772430414,0.007375323772430414,1
87,3263,2025-01-13,AA,exact,0.01,-0.1,-0.11243605613708496,-0.1077776551246643,-0.007777655124664301,0.007777655124664301,1
88,2855,2023-05-25,AA,exact,0.01,-0.1,-0.06573468446731567,-0.087222158908844,0.012777841091156011,0.012777841091156011,0
89,3450,2025-10-10,AA,exact,0.01,-0.1,0.053550004959106445,-0.14676374197006226,-0.04676374197006225,0.04676374197006225,0
90,2558,2022-03-21,AA,exact,0.01,-0.1,0.16099929809570312,-0.17110425233840942,-0.07110425233840942,0.07110425233840942,0
91,3135,2024-07-09,AA,exact,0.01,-0.1,-0.014177501201629639,-0.11303144693374634,-0.013031446933746332,0.013031446933746332,0
92,3065,2024-03-27,AA,exact,0.01,-0.1,0.2663530111312866,-0.09063619375228882,0.009363806247711187,0.009363806247711187,1
93,3338,2025-05-01,AA,exact,0.01,-0.1,-0.20428019762039185,-0.055658042430877686,0.04434195756912232,0.04434195756912232,0
94,3355,2025-05-27,AA,exact,0.01,-0.1,0.10901331901550293,-0.1529674530029297,-0.05296745300292968,0.05296745300292968,0
95,3280,2025-02-06,AA,exact,0.01,-0.1,-0.00855410099029541,-0.09594738483428955,0.004052615165710455,0.004052615165710455,1
96,2803,2023-03-13,AA,exact,0.01,-0.1,-0.08008468151092529,-0.11230039596557617,-0.012300395965576166,0.012300395965576166,0
97,3366,2025-06-11,AA,exact,0.01,-0.1,0.006563782691955566,-0.12860387563705444,-0.028603875637054438,0.028603875637054438,0
98,3325,2025-04-11,AA,exact,0.01,-0.1,-0.2618550658226013,-0.09898632764816284,0.0010136723518371638,0.0010136723518371638,1
99,3017,2024-01-18,AA,exact,0.01,-0.1,-0.1241808533668518,-0.08746337890625,0.012536621093750006,0.012536621093750006,0
