ticker,num_pairs,num_points,corr_real_hall,mae,rmse,kl_divergence,js_divergence,tail_abs_p99_real,tail_abs_p99_hall,tail_ratio_p99
G,150,3000,0.9887009690132861,0.0007936835665366611,0.0029515826052040994,0.11073235071252964,0.005382096569254172,0.05845463790999838,0.05027335214999901,0.8600404338729125
VOYA,150,3000,0.9936405526651919,0.000793482018964,0.002118426976830583,0.036158838727471554,0.003346557167107718,0.06328219,0.0632534008,0.9995450663132865
LANC,126,2520,0.985342003141709,0.0007932314197392858,0.003503240560418806,0.12683771101537172,0.006221490884643887,0.061400838459999364,0.053010702129999934,0.8633546944889795
CNO,150,3000,0.9942024544745324,0.000792411236264596,0.0019540405148252347,0.0409837738263487,0.0034241846177319795,0.06583574,0.05951994525999997,0.9040673843720746
AXTA,108,2160,0.9909434150616041,0.0007860460264109438,0.00250087886770504,0.16423870232442925,0.008098386214049,0.05984864878999993,0.05951311959999997,0.9943937048407344
CCMP,17,340,0.9854895396579987,0.000785260568964095,0.0045320981192453124,0.059155041668107686,0.003870520012363263,0.03768716922,0.03671270035000004,0.9741432192927129
LAMR,150,3000,0.9917253678484371,0.000785256069255377,0.0022829489714924363,0.0981513190907998,0.004765385263801519,0.05258889104999985,0.05204691739999987,0.9896941418771373
PDCO,73,1460,0.9918108514927082,0.0007837932446890412,0.0028694222329754488,0.11787789530928416,0.004729110993159197,0.06471823,0.06422348550000007,0.9923554074331152
ELAN,17,340,0.9914925656108479,0.0007825375829588237,0.003075328977306619,0.06456647340907291,0.004889703930401496,0.05984692,0.059846918049999996,0.9999999674168696
DT,126,2520,0.99341255254274,0.0007801072298995377,0.0025851338558805096,0.058077796723864816,0.0032763037898947394,0.07341848369999984,0.06836704271999994,0.9311966043777078
LII,100,2000,0.9964724795284031,0.0007798195492689999,0.0016321005080397418,0.01989330867976075,0.003427782448729136,0.053955533,0.053570308,0.9928603244453168
CASY,150,3000,0.9901894669531436,0.0007793577305734999,0.0025853962577307523,0.11095291541898478,0.005759275432098025,0.062238447,0.05484938995999994,0.8812782549024711
BJ,150,3000,0.9958203829831728,0.0007785623134031949,0.0019038691327644625,0.08128967513679687,0.005207789559121226,0.069291785,0.06386432409999998,0.9216723757368926
AZPN,109,2180,0.9933913063720303,0.0007753009595642202,0.0025433730402068654,0.06397340884482763,0.0035412252930971154,0.06072012384,0.0615155163,1.0130993220978253
PCH,149,2980,0.9959677165008087,0.0007751082407970368,0.0015814631582465551,0.014201480608351951,0.0038008592805869826,0.054755878,0.05346926517,0.9765027449655724
PRGO,145,2900,0.9913904674454702,0.0007740483926571871,0.0028887552523127018,0.07447030884001077,0.0037371845348004398,0.05692027149999979,0.0542833196699996,0.9536728873473451
SNX,150,3000,0.9925621821046091,0.0007719374896606667,0.002361535674196628,0.09050086198379988,0.005509603501171705,0.056846596,0.05616296488999994,0.9879741064882749
FYBR,121,2420,0.9956917215054258,0.0007697832215630627,0.002472935269907256,0.01173335903787293,0.0017697664961873203,0.08370559,0.08370558809999999,0.9999999773013964
ASB,146,2920,0.992891078519322,0.0007683356850563685,0.0024501980919278935,0.027766494504818207,0.0023275372508097846,0.065358154,0.06248286894999997,0.9560072481545298
SRCL,97,1940,0.9930810114287018,0.0007664252157527854,0.002362072962592192,0.08215347808639722,0.004081800886647181,0.06122443103999932,0.06122443103999932,1.0
FFIN,150,3000,0.9946762858940349,0.0007656395635764719,0.002039612485441628,0.026516675457350265,0.0019832296571482837,0.065082885,0.061704885,0.9480969536000133
PPC,144,2880,0.9901947528970181,0.0007647744858808971,0.0028154677358063975,0.06984405171181704,0.003948440995512319,0.05567781,0.054903510610000025,0.9860932139751909
SSD,150,3000,0.9943516767140349,0.0007622569549699999,0.002162153137017225,0.12566684636338527,0.005870268076293933,0.07024130569999922,0.0623831288799997,0.8881259859609985
BSY,13,260,0.9973077635797534,0.0007593557478076924,0.0013622589753426986,0.1132363944167721,0.013695453405620006,0.07424278246,0.07412292396,0.9983855871772508
WU,137,2740,0.9927345024422761,0.0007581093933361693,0.0022399825945273923,0.08119153525892953,0.0037834604764591185,0.05878484107000005,0.05632119,0.9580903677690245
BOH,49,980,0.9963321814232894,0.0007507897348438776,0.0022083019035123415,0.09434542357005049,0.008364243034380534,0.099933445,0.09778137835000009,0.9784650008813375
SLGN,150,3000,0.9863837900791866,0.00074776364449261,0.0030622118194406378,0.09049442900127096,0.004557498748452205,0.052471846,0.0488145009799994,0.9302989069604946
UBSI,150,3000,0.9945558257793233,0.0007463181731564717,0.0018775202306124692,0.03053984869827792,0.002959802314504164,0.053856680929999956,0.05315594356999997,0.9869888498901228
BERY,63,1260,0.9917467009077943,0.0007409752792092856,0.002173696875218291,0.07516644298763096,0.007315187886310507,0.05186102662000005,0.04646871262000015,0.8960237706146686
UGI,150,3000,0.9950080803518211,0.0007404591589309434,0.0018217411192518029,0.06790380625728734,0.0037240472767485306,0.056150682040000004,0.055914217939999955,0.9957887581876281
UNM,150,3000,0.9891433238858027,0.0007358501454568615,0.002946514959205882,0.09142705190409041,0.0036633860154801686,0.058150716,0.05639498859999981,0.9698072952360519
CFR,150,3000,0.9940391560386512,0.0007358197077932,0.0021677928816795215,0.05192192905060299,0.003534572080281165,0.06904901006,0.0622916372599993,0.9021365723544928
ENR,58,1160,0.9966406866913772,0.0007307071489758621,0.0016234536282625604,0.12342928715230642,0.007974010407711785,0.06107010500000035,0.05779881700000001,0.9464338893800768
MCY,18,360,0.9962710949233116,0.000729713734496326,0.0014675684107529911,0.15234003708377716,0.01673886154957171,0.04447535855000012,0.044526548690000126,1.0011509775675547
MORN,92,1840,0.9919618516369738,0.0007294658140027173,0.0022376054223560184,0.17613244551661636,0.007466493757732585,0.06389379554999987,0.06031175356999989,0.9439375615556151
CATY,58,1160,0.9970945214099926,0.0007290741115741379,0.0015481462932007428,0.015443584699995856,0.004325688041634891,0.067491874,0.06632650364000016,0.982733175256034
MTN,92,1840,0.9944355534777016,0.0007279471689820654,0.0023037555420162823,0.20204306718012946,0.009758376837788907,0.08317565,0.08000336239999994,0.961860381012952
AMG,150,3000,0.9926961662663744,0.000722727434601,0.0023627008115091677,0.0461107313327434,0.0031266780229839896,0.05776297703,0.05776297703,1.0
TTC,150,3000,0.9940465327068598,0.0007214726915043332,0.0021653056358808646,0.06310513556907876,0.003986190978315812,0.06758089,0.06320186923999978,0.9352032688530704
MLI,52,1040,0.9903663346260827,0.0007212792247586167,0.0026607187571944836,0.11537230267566075,0.006896834895629103,0.0681399961,0.06407000819999994,0.940270206443407
ERIE,39,780,0.9944799632743995,0.0007172762769692307,0.0018158107648062736,0.1932688717383583,0.008862105311432295,0.059350357680000285,0.05558646440000001,0.9365817928125373
WTFC,150,3000,0.9929154230368384,0.000716433554913195,0.0024378506324840574,0.049673907328831465,0.0031321918298381334,0.06225068,0.06225707335999985,1.0001027034564096
WMG,60,1200,0.9935794056324251,0.0007132685622102349,0.0019035618153150275,0.19927815417325376,0.00992677829607359,0.057366963,0.054742300220000005,0.954247834594277
VVV,150,3000,0.995246940835874,0.0007116642656739171,0.001893928028594264,0.07709663839325324,0.0031812771399632013,0.06272539069999965,0.061398021829999844,0.9788384120818269
CBSH,150,3000,0.994365163897893,0.0007086528033425229,0.001657710093491825,0.0377574669849827,0.00351833682684405,0.04633188,0.04634291269999974,1.0002381232965236
LEG,90,1800,0.9937279770054132,0.0007066780863922222,0.0025263456471230393,0.04332486457715092,0.003406159901710811,0.0741181883,0.07249334439999998,0.9780776630235035
UE,4,80,0.9960744226893269,0.0007063147261875,0.001454542296547409,0.39938688456664145,0.04946455329330477,0.050212885119999884,0.04890597321999992,0.9739725790128037
